,Id,Screen_Name,Text,Created at
0,1593982629166006272,UCIR_org,b'Register for this free AACR webinar for patients and advocates. The forum will discuss innovative clinical trial de\xe2\x80\xa6 https://t.co/Aid8hyu26i',2022-11-19 15:00:48+00:00
1,1593934508688039936,justice_tarot,"b""Part 1 of #NewMoon\xf0\x9f\x8c\x91 in #Vishakha\xe2\x99\x8e\xef\xb8\x8f  (But that #Ashlesha\xe2\x99\x8b\xef\xb8\x8f #Moon\xf0\x9f\x8c\x99 won't quit!)\n\n00:00 3rd Quarter Moon\xf0\x9f\x8c\x97 &amp;\xe2\x80\xa6 https://t.co/7Byo9D3WSZ""",2022-11-19 11:49:35+00:00
2,1593847720720187392,BendaKithaka,"b'RT @DrNonoSimelela: Today at 11:00 AM Geneva join me, @WHO, @DrTedros, partners, survivors, &amp; advocates for the #CervicalCancer Elimination\xe2\x80\xa6'",2022-11-19 06:04:43+00:00
3,1593797276421324800,MortarPestleUSA,"b'EPA &amp; FDA Claim Cancer is a ""Trade Secret"" Belonging to Monsanto. \nStart at 25:00: \nhttps://t.co/xBrBLxZO1Z \n#GMOs\n#Cancer'",2022-11-19 02:44:16+00:00
4,1593669099300823046,IsmaeelGMuhamm1,"b'RT @DrNonoSimelela: Today at 11:00 AM Geneva join me, @WHO, @DrTedros, partners, survivors, &amp; advocates for the #CervicalCancer Elimination\xe2\x80\xa6'",2022-11-18 18:14:56+00:00
5,1593574801087803397,FDN4CancerCare,b'Join us on TwitterSpaces on Thursday 24th November at 1:00 pm WAT as we share our experiences as cancer caregivers.\xe2\x80\xa6 https://t.co/50mTxjNRh6',2022-11-18 12:00:14+00:00
6,1593438803045351426,lilliandesafio,"b'RT @LGCW2022: As part of #LondonGlobalCancerWeek 2022, C3 are joined by Dr Juana Willumsen from WHO to discuss the benefits of Physical Act\xe2\x80\xa6'",2022-11-18 02:59:49+00:00
7,1593293956963438592,K_KAKKU,"b""RT @LGCW2022: Don't miss this LIVE event for London Global Cancer Week 2022 at The Royal Society of Medicine! Co-hosted by: Chatham House &amp;\xe2\x80\xa6""",2022-11-17 17:24:15+00:00
8,1593293850428067840,K_KAKKU,"b'RT @LGCW2022: As part of #LondonGlobalCancerWeek 2022, C3 are joined by Dr Juana Willumsen from WHO to discuss the benefits of Physical Act\xe2\x80\xa6'",2022-11-17 17:23:50+00:00
9,1593288967285243908,VandyckSey,"b'RT @DrNonoSimelela: Today at 11:00 AM Geneva join me, @WHO, @DrTedros, partners, survivors, &amp; advocates for the #CervicalCancer Elimination\xe2\x80\xa6'",2022-11-17 17:04:26+00:00
10,1593240243666563073,GIAHC,"b'RT @DrNonoSimelela: Today at 11:00 AM Geneva join me, @WHO, @DrTedros, partners, survivors, &amp; advocates for the #CervicalCancer Elimination\xe2\x80\xa6'",2022-11-17 13:50:49+00:00
11,1593214790700531713,GlobalOncPod,"b'RT @LGCW2022: As part of #LondonGlobalCancerWeek 2022, C3 are joined by Dr Juana Willumsen from WHO to discuss the benefits of Physical Act\xe2\x80\xa6'",2022-11-17 12:09:41+00:00
12,1593204292265336832,sadiq_kigo,"b'RT @DrNonoSimelela: Today at 11:00 AM Geneva join me, @WHO, @DrTedros, partners, survivors, &amp; advocates for the #CervicalCancer Elimination\xe2\x80\xa6'",2022-11-17 11:27:58+00:00
13,1593194255874654209,NyapMingTim,"b'RT @DrNonoSimelela: Today at 11:00 AM Geneva join me, @WHO, @DrTedros, partners, survivors, &amp; advocates for the #CervicalCancer Elimination\xe2\x80\xa6'",2022-11-17 10:48:05+00:00
14,1593192696386301953,IMR_NIH,"b'RT @DrNonoSimelela: Today at 11:00 AM Geneva join me, @WHO, @DrTedros, partners, survivors, &amp; advocates for the #CervicalCancer Elimination\xe2\x80\xa6'",2022-11-17 10:41:53+00:00
